node_left,connection,node_right,reference,notes
Mark Justh,member,CIC Limited,https://s28.q4cdn.com/902533721/files/doc_presentations/2022/05/EX-99.1-OMEX-IR-Deck-Final-5-16-22.pdf,.
CIC Polymetallic Nodule Exploration Project,project of,CIC Limited,https://s28.q4cdn.com/902533721/files/doc_presentations/2022/05/EX-99.1-OMEX-IR-Deck-Final-5-16-22.pdf,.
DYNE CAPITAL PTY LTD,funding,CIC Polymetallic Nodule Exploration Project,,
DYNE CAPITAL PTY LTD,early Australian iteration of,DYNE Asset Management,,
DYNE CAPITAL AUSTRALIA PTY LTD,another iteration of,DYNE Asset Management,,
DYNE Maritime,another iteration of,DYNE Asset Management,,
MATTHEW MARCARIAN,director,DYNE CAPITAL AUSTRALIA PTY LTD,,.
JOHN MARCARIAN,director / member,DYNE CAPITAL AUSTRALIA PTY LTD,,"JOHN BASIL MARCARIAN Born: 22/11/1964, CALCUTTA, INDIA"
CHRISTOPHER TENG-BOON TAN ,director / member,DYNE CAPITAL AUSTRALIA PTY LTD,,.
Richard V Spencer,global chair,Bondi Partners,https://www.crikey.com.au/2023/03/20/aukus-joe-hockey-bondi-partners-defence-deal/,.
Air vice-marshal (retired) Gavin Turnbull AM,member,Bondi Partners,https://www.crikey.com.au/2023/03/20/aukus-joe-hockey-bondi-partners-defence-deal/,.
Gus McLachlan — a former major general,member,Bondi Partners,https://www.crikey.com.au/2023/03/20/aukus-joe-hockey-bondi-partners-defence-deal/,.
"Air vice-marshal (retired) Peter Yates AM, CSC",member,Bondi Partners,https://www.crikey.com.au/2023/03/20/aukus-joe-hockey-bondi-partners-defence-deal/,.
Rear admiral (retired) Mark Purcell AM,member,Bondi Partners,https://www.crikey.com.au/2023/03/20/aukus-joe-hockey-bondi-partners-defence-deal/,.
Richard V Spencer,managing director,Pallas Ventures,https://www.crikey.com.au/2023/03/20/aukus-joe-hockey-bondi-partners-defence-deal/,a private investment fund dedicated to growing dual-use technology companies. Pallas says it advises on “complex national and international security dynamics”.
